wavelength [micron], flux [Jy]
6.521250686346251157e+00,2.237359198546275074e+00
6.534298515442138466e+00,2.230915846682147929e+00
6.547372450856014936e+00,2.234895431234499075e+00
6.560472544821846164e+00,2.237316586720381917e+00
6.573598849678108813e+00,2.246042579995658706e+00
6.586751417867994896e+00,2.237327631065242350e+00
6.599930301939629373e+00,2.235039932552777664e+00
6.613135554546277106e+00,2.237109188989564679e+00
6.626367228446546243e+00,2.252569713629776427e+00
6.639625376504612930e+00,2.242937348403355013e+00
6.652910051690422044e+00,2.226648429442299015e+00
6.666221307079899461e+00,2.231612746556340454e+00
6.679559195855167886e+00,2.228988783741002067e+00
6.692923771304760017e+00,2.221536485875703182e+00
6.706315086823823712e+00,2.232179606640019465e+00
6.719733195914345814e+00,2.230947192246701238e+00
6.733178152185359977e+00,2.223073790446818077e+00
6.746650009353158062e+00,2.223983692565166592e+00
6.760148821241513062e+00,2.219792210511774222e+00
6.773674641781889605e+00,2.227714796678041953e+00
6.787227525013651785e+00,2.230990800259762707e+00
6.800807525084295868e+00,2.220832489229890516e+00
6.814414696249653680e+00,2.218798022684014271e+00
6.828049092874110215e+00,2.223524058613383758e+00
6.841710769430828343e+00,2.217526225182271826e+00
6.855399780501961082e+00,2.230269145070993275e+00
6.869116180778864766e+00,2.236381969487321708e+00
6.882860025062329967e+00,2.219699312429993743e+00
6.896631368262792883e+00,2.214959307455340642e+00
6.910430265400549388e+00,2.220033384630095696e+00
6.924256771605986849e+00,2.215703717516772198e+00
6.938110942119799063e+00,2.215009597759468374e+00
6.951992832293199420e+00,2.219704828828234167e+00
6.965902497588156272e+00,2.228142392766569113e+00
6.979839993577605206e+00,2.217642333115300790e+00
6.993805375945669311e+00,2.218468923903496481e+00
7.007798700487890109e+00,2.213885545016435419e+00
7.021820023111446041e+00,2.219987750913821500e+00
7.035869399835370075e+00,2.212590167267274754e+00
7.049946886790783296e+00,2.233769276473328791e+00
7.064052540221117837e+00,2.214175963046431939e+00
7.078186416482329157e+00,2.214541688962360144e+00
7.092348572043140287e+00,2.212828194550757299e+00
7.106539063485254104e+00,2.210943758929347691e+00
7.120757947503580709e+00,2.215966232919411194e+00
7.135005280906470126e+00,2.209926173319346265e+00
7.149281120615935237e+00,2.222671355731991039e+00
7.163585523667874710e+00,2.219717285896051884e+00
7.177918547212311928e+00,2.212058435675752222e+00
7.192280248513615248e+00,2.210849410712616869e+00
7.206670684950724493e+00,2.221867970843023787e+00
7.221089914017388089e+00,2.208190015127797334e+00
7.235537993322390449e+00,2.208705234642564630e+00
7.250014980589774893e+00,2.214501057705345222e+00
7.264520933659085244e+00,2.209257343402148965e+00
7.279055910485591419e+00,2.214140842677343457e+00
7.293619969140515025e+00,2.208757667681259917e+00
7.308213167811275390e+00,2.209910098045002158e+00
7.322835564801712493e+00,2.205847029647444835e+00
7.337487218532315225e+00,2.219440722156103440e+00
7.352168187540470079e+00,2.211283829131304834e+00
7.366878530480681420e+00,2.208088335241669586e+00
7.381618306124809514e+00,2.207989783604793477e+00
7.396387573362309453e+00,2.205515889478479874e+00
7.411186391200462964e+00,2.206269626911105952e+00
7.426014818764611114e+00,2.205053230699707267e+00
7.440872915298397672e+00,2.204961964970968857e+00
7.455760740164002698e+00,2.212616908846624320e+00
7.470678352842373471e+00,2.216274856116447367e+00
7.485625812933474954e+00,2.209690095204444038e+00
7.500603180156514505e+00,2.203831030090517284e+00
7.515610514350190563e+00,2.204721195957540569e+00
7.530647875472928909e+00,2.204381977070992260e+00
7.545715323603114477e+00,2.204485524089792481e+00
7.560812918939346261e+00,2.205396520290442197e+00
7.575940721800666466e+00,2.211120069256625964e+00
7.591098792626801206e+00,2.209214706993066102e+00
7.606287191978409190e+00,2.209915598523520597e+00
7.621505980537322422e+00,2.209513599471692125e+00
7.636755219106778014e+00,2.206794039323885404e+00
7.652034968611675758e+00,2.206846863472144094e+00
7.667345290098816157e+00,2.206429937608419323e+00
7.682686244737136683e+00,2.206754836720739021e+00
7.698057893817967567e+00,2.207361747586876088e+00
7.713460298755271616e+00,2.210618843853390025e+00
7.728893521085886675e+00,2.208941373274313058e+00
7.744357622469779656e+00,2.211988755010636964e+00
7.759852664690280122e+00,2.214901620007803551e+00
7.775378709654341414e+00,2.211706273825625679e+00
7.790935819392782236e+00,2.212175302403919908e+00
7.806524056060525574e+00,2.214672896098244692e+00
7.822143481936862486e+00,2.214058173647351246e+00
7.837794159425692797e+00,2.215300201488141330e+00
7.853476151055769350e+00,2.217663568869820523e+00
7.869189519480960904e+00,2.220995945323869680e+00
7.884934327480491945e+00,2.220962151778255844e+00
7.900710637959194038e+00,2.223054581558340015e+00
7.916518513947763402e+00,2.223138481718121451e+00
7.932358018603010485e+00,2.226566237064409925e+00
7.948229215208105103e+00,2.227136863305064107e+00
7.964132167172840226e+00,2.228406549784454072e+00
7.980066938033880675e+00,2.230130837019074885e+00
7.996033591455009137e+00,2.231920271430460012e+00
8.012032191227397959e+00,2.234007214369977401e+00
8.028062801269848947e+00,2.235577966894664481e+00
8.044125485629049166e+00,2.237834047849262653e+00
8.060220308479840057e+00,2.238730172455293044e+00
8.076347334125463462e+00,2.240390498474730041e+00
8.092506626997813868e+00,2.241630518332724975e+00
8.108698251657706635e+00,2.243194666201152820e+00
8.124922272795133793e+00,2.244646098254902800e+00
8.141178755229516284e+00,2.246212432643055923e+00
8.157467763909966862e+00,2.248978514970255915e+00
8.173789363915552997e+00,2.248469040614417658e+00
8.190143620455550888e+00,2.249544735893931779e+00
8.206530598869706594e+00,2.250581019601164190e+00
8.222950364628507813e+00,2.251425391054072467e+00
8.239402983333421915e+00,2.253022030006702536e+00
8.255888520717187262e+00,2.254483548123396464e+00
8.272407042644054798e+00,2.254413170254928822e+00
8.288958615110056272e+00,2.255683991640949237e+00
8.305543304243272473e+00,2.257278828963624306e+00
8.322161176304094354e+00,2.258617362899717929e+00
8.338812297685485930e+00,2.259865775736295657e+00
8.355496734913250734e+00,2.260625899764172608e+00
8.372214554646305373e+00,2.261856331429073386e+00
8.388965823676926448e+00,2.262960068443245820e+00
8.405750608931040091e+00,2.263967909544847057e+00
8.422568977468475993e+00,2.265853643037513798e+00
8.439420996483235626e+00,2.266374801455883770e+00
8.456306733303764034e+00,2.267589294966581903e+00
8.473226255393225159e+00,2.268980907316041851e+00
8.490179630349752316e+00,2.270360801378363380e+00
8.507166925906739507e+00,2.272345885889916151e+00
8.524188209933102556e+00,2.273108130187533327e+00
8.541243550433543774e+00,2.274014606100536184e+00
8.558333015548836187e+00,2.275242835400828501e+00
8.575456673556091758e+00,2.276876556404634933e+00
8.592614592869022516e+00,2.278278678018874182e+00
8.609806842038235430e+00,2.279772617366757181e+00
8.627033489751491757e+00,2.281275811181281199e+00
8.644294604833977047e+00,2.283089275413434649e+00
8.661590256248590691e+00,2.285011679072955992e+00
8.678920513096215927e+00,2.287680450599062443e+00
8.696285444615986293e+00,2.290378710627031023e+00
8.713685120185575173e+00,2.292253085451310568e+00
8.731119609321471131e+00,2.293902609781754087e+00
8.748588981679242593e+00,2.296206446959432323e+00
8.766093307053836270e+00,2.299153039991078895e+00
8.783632655379843612e+00,2.302790036801090956e+00
8.801207096731774371e+00,2.307599631841914967e+00
8.818816701324355023e+00,2.310885273084033464e+00
8.836461539512795227e+00,2.313592146447112086e+00
8.854141681793068486e+00,2.316121403787286148e+00
8.871857198802201694e+00,2.318107338979956911e+00
8.889608161318557578e+00,2.320243861840493693e+00
8.907394640262101149e+00,2.323033110240819266e+00
8.925216706694708790e+00,2.326030173793221412e+00
8.943074431820432935e+00,2.328942100488818223e+00
8.960967886985788056e+00,2.331995732832040868e+00
8.978897143680045545e+00,2.334915338826385689e+00
8.996862273535516152e+00,2.337921679583111700e+00
9.014863348327823545e+00,2.340281679619599764e+00
9.032900439976211615e+00,2.342994797582788280e+00
9.050973620543819820e+00,2.345333205929235554e+00
9.069082962237965617e+00,2.348070574667823429e+00
9.087228537410446449e+00,2.350803957160588098e+00
9.105410418557823959e+00,2.353250817579179532e+00
9.123628678321702878e+00,2.355959575436087583e+00
9.141883389489041889e+00,2.358733975845477726e+00
9.160174624992428960e+00,2.361725188469709469e+00
9.178502457910370893e+00,2.364332915203070762e+00
9.196866961467598856e+00,2.366955733938890027e+00
9.215268209035352598e+00,2.369396841236159457e+00
9.233706274131666447e+00,2.371465804090333584e+00
9.252181230421681946e+00,2.373037156023061200e+00
9.270693151717924962e+00,2.374401359480911466e+00
9.289242111980605898e+00,2.375387608235165260e+00
9.307828185317916336e+00,2.376407685836733563e+00
9.326451445986332800e+00,2.377188753739864602e+00
9.345111968390890311e+00,2.377973976081172669e+00
9.363809827085507465e+00,2.378631241191605294e+00
9.382545096773268867e+00,2.379530076007503769e+00
9.401317852306721790e+00,2.379847960923933137e+00
9.420128168688183479e+00,2.380384091712866912e+00
9.438976121070037806e+00,2.380996652052018714e+00
9.457861784755031920e+00,2.381438012244320390e+00
9.476785235196580004e+00,2.382333787658859947e+00
9.495746547999070586e+00,2.383252017548445068e+00
9.514745798918154307e+00,2.384855428372773201e+00
9.533783063861060114e+00,2.386569635814642432e+00
9.552858418886895464e+00,2.388004866329181741e+00
9.571971940206937646e+00,2.389362387844108593e+00
9.591123704184962406e+00,2.389902424114207058e+00
9.610313787337528169e+00,2.389996095124044651e+00
9.629542266334288669e+00,2.389540812920366797e+00
9.648809217998300269e+00,2.388722124136736014e+00
9.668114719306331040e+00,2.388081887751714927e+00
9.687458847389160965e+00,2.387650997747847725e+00
9.706841679531898137e+00,2.387588241550728352e+00
9.726263293174284286e+00,2.387967083657421163e+00
9.745723765911000314e+00,2.388355068257933755e+00
9.765223175491980712e+00,2.388779334167189461e+00
9.784761599822727973e+00,2.389244248240833812e+00
9.804339116964612799e+00,2.389820316374090314e+00
9.823955805135195618e+00,2.390427994151230529e+00
9.843611742708541001e+00,2.390752902823065185e+00
9.863307008215514315e+00,2.391164683429995552e+00
9.883041680344112123e+00,2.390071139614241336e+00
9.902815837939778376e+00,2.388983794838201558e+00
9.922629560005702842e+00,2.386200421788075676e+00
9.942482925703142627e+00,2.383390731659302819e+00
9.962376014351761455e+00,2.380866206333524637e+00
9.982308905429908563e+00,2.378359507771054204e+00
1.000228167857495443e+01,2.377174186127659627e+00
1.002229441358362649e+01,2.376241857361743648e+00
1.004234719041229518e+01,2.376567545519657987e+00
1.006244008917730781e+01,2.377372116816974135e+00
1.008257319015532794e+01,2.379173704288700897e+00
1.010274657378361773e+01,2.381582061487121482e+00
1.012296032066038620e+01,2.384227993974485482e+00
1.014321451154511600e+01,2.387096567144848525e+00
1.016350922735885653e+01,2.388681974709136568e+00
1.018384454918457216e+01,2.388775769184596331e+00
1.020422055826746899e+01,2.388346372831539277e+00
1.022463733601529867e+01,2.387080333171426094e+00
1.024509496399869235e+01,2.386015614677469809e+00
1.026559352395150349e+01,2.385398078191133919e+00
1.028613309777110985e+01,2.385058238426580157e+00
1.030671376751874568e+01,2.385746287905855301e+00
1.032733561541984990e+01,2.386587113232387480e+00
1.034799872386436981e+01,2.388491838188353977e+00
1.036870317540709330e+01,2.390334822191186870e+00
1.038944905276800412e+01,2.391683543837894721e+00
1.041023643883257677e+01,2.393085946669839092e+00
1.043106541665212639e+01,2.393714582549545611e+00
1.045193606944415343e+01,2.394209768008953798e+00
1.047284848059264206e+01,2.395168610527754982e+00
1.049380273364841898e+01,2.396191601957169404e+00
1.051479891232949271e+01,2.397317257721226280e+00
1.053583710052135913e+01,2.398614682439837775e+00
1.055691738227735854e+01,2.399819375149046419e+00
1.057803984181901491e+01,2.401108882465166072e+00
1.059920456353635743e+01,2.402344762221984897e+00
1.062041163198825977e+01,2.403633432607433562e+00
1.064166113190278651e+01,2.404787284153942384e+00
1.066295314817753770e+01,2.405889341881855437e+00
1.068428776587995621e+01,2.407000406128797287e+00
1.070566507024771497e+01,2.408180776238539433e+00
1.072708514668901181e+01,2.409214009586595928e+00
1.074854808078293900e+01,2.409941403064237875e+00
1.077005395827981005e+01,2.410424145736399737e+00
1.079160286510152567e+01,2.410045110387637024e+00
1.081319488734187573e+01,2.409647263231418091e+00
1.083483011126693718e+01,2.408961508728759693e+00
1.085650862331536537e+01,2.408159517691028650e+00
1.087823051009877595e+01,2.406869264030745637e+00
1.089999585840206464e+01,2.405599324854480248e+00
1.092180475518379446e+01,2.403933414399760160e+00
1.094365728757648704e+01,2.402324003681637343e+00
1.096555354288702588e+01,2.402315562553690942e+00
1.098749360859695834e+01,2.402565353218023780e+00
1.100947757236288105e+01,2.403722214142835156e+00
1.103150552201675971e+01,2.405064888536594836e+00
1.105357754556631811e+01,2.405788080067860157e+00
1.107569373119534362e+01,2.406694634829486201e+00
1.109785416726408691e+01,2.407020666762585748e+00
1.112005894230957281e+01,2.407086183490317666e+00
1.114230814504597866e+01,2.406779560993084210e+00
1.116460186436497892e+01,2.406156217698107280e+00
1.118694018933611645e+01,2.405316115721680248e+00
1.120932320920712755e+01,2.404274112782982975e+00
1.123175101340433635e+01,2.403518894809225426e+00
1.125422369153298163e+01,2.403168516120662179e+00
1.127674133337758278e+01,2.403017743937707174e+00
1.129930402890230212e+01,2.403504068291892448e+00
1.132191186825131979e+01,2.404285536811582080e+00
1.134456494174915342e+01,2.405080681590404001e+00
1.136726333990106852e+01,2.405856724103647704e+00
1.139000715339339642e+01,2.405962261634606136e+00
1.141279647309391976e+01,2.405841484675899089e+00
1.143563139005222951e+01,2.405220704070934357e+00
1.145851199550010335e+01,2.404589660188251266e+00
1.148143838085183432e+01,2.402878873370474899e+00
1.150441063770464467e+01,2.401019442438899976e+00
1.152742885783900739e+01,2.397741257790318770e+00
1.155049313321903348e+01,2.394526844039308155e+00
1.157360355599283785e+01,2.390741788669767942e+00
1.159676021849291949e+01,2.387071248702962833e+00
1.161996321323649717e+01,2.383636259307866823e+00
1.164321263292591979e+01,2.380363968743784309e+00
1.166650857044900391e+01,2.377429565289344016e+00
1.168985111887942097e+01,2.375243761637160222e+00
1.171324037147705788e+01,2.373767381935938836e+00
1.173667642168841674e+01,2.372563515205071472e+00
1.176015936314694876e+01,2.370883505658531121e+00
1.178368928967346818e+01,2.369780866167909839e+00
1.180726629527648974e+01,2.369186569233671324e+00
1.183089047415263018e+01,2.369301751345910478e+00
1.185456192068696879e+01,2.369263379232178224e+00
1.187828072945345070e+01,2.369095965547983962e+00
1.190204699521522080e+01,2.368922699343554150e+00
1.192586081292505540e+01,2.367418748627049929e+00
1.194972227772569262e+01,2.365905617941520767e+00
1.197363148495024099e+01,2.363027074606871114e+00
1.199758853012254711e+01,2.359862208028384423e+00
1.202159350895759893e+01,2.356534948401947105e+00
1.204564651736187386e+01,2.353194748507145828e+00
1.206974765143375983e+01,2.350407754822688933e+00
1.209389700746390162e+01,2.347546373612741544e+00
1.211809468193561656e+01,2.344968665755394088e+00
1.214234077152525337e+01,2.342557974569899226e+00
1.216663537310261667e+01,2.341021288240862308e+00
1.219097858373130094e+01,2.339668076355834181e+00
1.221537050066913288e+01,2.338515021422902684e+00
1.223981122136851951e+01,2.337479276202849565e+00
1.226430084347685501e+01,2.337030625560724051e+00
1.228883946483690082e+01,2.337080971969247578e+00
1.231342718348720489e+01,2.336016113770591929e+00
1.233806409766244627e+01,2.334953385189814323e+00
1.236275030579388101e+01,2.334564616664904779e+00
1.238748590650968495e+01,2.334394721624565516e+00
1.241227099863538008e+01,2.333769863732543470e+00
1.243710568119421467e+01,2.333446323030272662e+00
1.246199005340758070e+01,2.332720744899229093e+00
1.248692421469537095e+01,2.331269079420582369e+00
1.251190826467642125e+01,2.332196909630138038e+00
1.253694230316887293e+01,2.330467536577206289e+00
1.256202643019058662e+01,2.330493552521634815e+00
1.258716074595953494e+01,2.329960531034342974e+00
1.261234535089423048e+01,2.328704780867430379e+00
1.263758034561407406e+01,2.328190030909159880e+00
1.266286583093982010e+01,2.327503793709851276e+00
1.268820190789392122e+01,2.326619521253658895e+00
1.271358867770096701e+01,2.325698474681479055e+00
1.273902624178807130e+01,2.325281195833358794e+00
1.276451470178530379e+01,2.323825702067599863e+00
1.279005415952605595e+01,2.323198909660092681e+00
1.281564471704749053e+01,2.322716539553722814e+00
1.284128647659090916e+01,2.321709921512910668e+00
1.286697954060218763e+01,2.320614558978653097e+00
1.289272401173216842e+01,2.319326515919199139e+00
1.291851999283710128e+01,2.318211384619412563e+00
1.294436758697900736e+01,2.317763538324079331e+00
1.297026689742613748e+01,2.317611448213246828e+00
1.299621802765334699e+01,2.317715600200068060e+00
1.302222108134253453e+01,2.317527660859446392e+00
1.304827616238303456e+01,2.316972624597983366e+00
1.307438337487207036e+01,2.316642862131392810e+00
1.310054282311511464e+01,2.316523531954411297e+00
1.312675461162636559e+01,2.316932398599735432e+00
1.315301884512911279e+01,2.317191056769805080e+00
1.317933562855618668e+01,2.317949253133507970e+00
1.320570506705035996e+01,2.318831279497985065e+00
1.323212726596479882e+01,2.319630698983493833e+00
1.325860233086344131e+01,2.320366187825089632e+00
1.328513036752144139e+01,2.321221651611134806e+00
1.331171148192560416e+01,2.320731630966286207e+00
1.333834578027478202e+01,2.322410763313904170e+00
1.336503336898030625e+01,2.324580595283138873e+00
1.339177435466644184e+01,2.326183030043590616e+00
1.341856884417076579e+01,2.330094741508445200e+00
1.344541694454462011e+01,2.329564405871124233e+00
1.347231876305355591e+01,2.330458136588441587e+00
1.349927440717772420e+01,2.331708738572384032e+00
1.352628398461232173e+01,2.329800564973456112e+00
1.355334760326804577e+01,2.330332992375024670e+00
1.358046537127148312e+01,2.330955952133456854e+00
1.360763739696555952e+01,2.332416140396729620e+00
1.363486378890999973e+01,2.334199922980175756e+00
1.366214465588171123e+01,2.336484952532474235e+00
1.368948010687524786e+01,2.339916953083289286e+00
1.371687025110326275e+01,2.342176126043148621e+00
1.374431519799689738e+01,2.344203379451092140e+00
1.377181505720625054e+01,2.346194789116339052e+00
1.379936993860082950e+01,2.346925578424311265e+00
1.382697995226995147e+01,2.347372342214748553e+00
1.385464520852319836e+01,2.346387537951639235e+00
1.388236581789088397e+01,2.360620146693029664e+00
1.391014189112445543e+01,2.347827157105383922e+00
1.393797353919694615e+01,2.343561435387661707e+00
1.396586087330345549e+01,2.343023655437534991e+00
1.399380400486153597e+01,2.343065772782252143e+00
1.402180304551167112e+01,2.345741403338823083e+00
1.404985810711773375e+01,2.345005104921772165e+00
1.407796930176739814e+01,2.346060416515528324e+00
1.410613674177260357e+01,2.346713184141924202e+00
1.413436053967002515e+01,2.348718306107650200e+00
1.416264080822148586e+01,2.352022610780506895e+00
1.419097766041442732e+01,2.354342369151549264e+00
1.421937120946235389e+01,2.357050473628995668e+00
1.424782156880530870e+01,2.357632261032130305e+00
1.427632885211028047e+01,2.361162103591331718e+00
1.430489317327171506e+01,2.363426111204855129e+00
1.433351464641191519e+01,2.368560568726803872e+00
1.436219338588153072e+01,2.369120191591107094e+00
1.439092950625999912e+01,2.370887043156248097e+00
1.441972312235603049e+01,2.375782733153008142e+00
1.444857434920801964e+01,2.373452209960592363e+00
1.447748330208455947e+01,2.376472008644993750e+00
1.450645009648485129e+01,2.380873324289869863e+00
1.453547484813920043e+01,2.373894930400291869e+00
1.456455767300945503e+01,2.374899120418564991e+00
1.459369868728950870e+01,2.375732783532208181e+00
1.462289800740570200e+01,2.378404966098818019e+00
1.465215575001736070e+01,2.380303145528456898e+00
1.468147203201719542e+01,2.381098009195123932e+00
1.471084697053180967e+01,2.381093339080494697e+00
1.474028068292214577e+01,2.381764743697893483e+00
1.476977328678398749e+01,2.383951947868139687e+00
1.479932489994837574e+01,2.385605947897349477e+00
1.482893564048214152e+01,2.386655991056098269e+00
1.485860562668831975e+01,2.387580858554406937e+00
1.488833497710665732e+01,2.392012383259589203e+00
1.491812381051407144e+01,2.401464711044745126e+00
1.494797224592515228e+01,2.440307129690490573e+00
1.497788040259258402e+01,2.489401199591885216e+00
1.500784840000768838e+01,2.386331036877151313e+00
1.503787635790083854e+01,2.387104888078454668e+00
1.506796439624197781e+01,2.391233331006113794e+00
1.509811263524108149e+01,2.395322855183315891e+00
1.512832119534865960e+01,2.397927096624201670e+00
1.515859019725619738e+01,2.404898615252962113e+00
1.518891976189668824e+01,2.404963999566345656e+00
1.521931001044507070e+01,2.407411961105540232e+00
1.524976106431873646e+01,2.408606644417207399e+00
1.528027304517800644e+01,2.413394643358345082e+00
1.531084607492664063e+01,2.417214690148473455e+00
1.534148027571228212e+01,2.421737358602592760e+00
1.537217576992699186e+01,2.422242002571940223e+00
1.540293268020769801e+01,2.424699960928051290e+00
1.543375112943670757e+01,2.427713235077072707e+00
1.546463124074218420e+01,2.425052713012468164e+00
1.549557313749867582e+01,2.427512254101668265e+00
1.552657694332754268e+01,2.431906152997205695e+00
1.555764278209752760e+01,2.432102964645014076e+00
1.558877077792518051e+01,2.432419453759119499e+00
1.561996105517540023e+01,2.437088264474863486e+00
1.565121373846190700e+01,2.431851024200515354e+00
